Ticket number,Issue Date,RP State Plate,Make,Location,Violation code,Violation Description,Fine amount,Latitude,Longitude,year,csa,ami_category
4535579576,09/02/2021,CA,FORD,16850 COVELLO ST,5204A-,DISPLAY OF TABS,25.0,34.20724934684356,-118.50014594619248,2021,Lake Balboa,Very Low Income
4538542971,10/31/2021,CA,HOND,249 CHICAGO ST N,88.63B+,OFF STR/OVERTIME/MTR,58.0,34.043048816565374,-118.21337982001899,2021,Boyle Heights,Extremely Low Income
4525025842,01/26/2021,CA,WINN,2800 HYDE PARK BLVD W,80.69BS,NO PARK/STREET CLEAN,73.0,33.98126699625853,-118.32355000096935,2021,Hyde Park,Low Income
4540806616,12/16/2021,CA,NISS,16200 GILMORE AVE,80.58L,PREFERENTIAL PARKING,68.0,34.18761900106935,-118.48582899879025,2021,Lake Balboa,Very Low Income
4535335070,09/13/2021,CA,TOYT,100 ORLANDO AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.074527000301146,-118.37314399985553,2021,Carthay,Above Moderate Income
4538723291,11/05/2021,CA,TOYT,601 TRACTION AV,88.13B+,METER EXP.,63.0,34.046237999592435,-118.23706999912122,2021,Wholesale District,Above Moderate Income
4531151973,06/18/2021,CA,PORS,12001 VENTURA PL,5200,DISPLAY OF PLATES,25.0,34.14375300040887,-118.3931080045647,2021,Studio City,Above Moderate Income
4529427276,05/06/2021,CA,KIA,1133 HYPERION AV N,80.58L,PREFERENTIAL PARKING,68.0,34.0926559999964,-118.2790112252119,2021,Silverlake,Above Moderate Income
4539463095,12/05/2021,CA,BUIC,12430 HORTENSE ST,22500E,BLOCKING DRIVEWAY,68.0,34.154941662933744,-118.40436600478508,2021,Sherman Oaks,Above Moderate Income
4529954310,05/10/2021,CA,HOND,8445 MAIN ST S,80.69B,NO PARKING,73.0,33.96188989066764,-118.27387193104116,2021,Florence-Firestone,Very Low Income
4540504544,12/10/2021,CA,DODG,628 CITRUS AVE,22500F,PARKED ON SIDEWALK,68.0,34.064089999440476,-118.33967040032108,2021,Hancock Park,Above Moderate Income
4533508324,07/28/2021,CA,TOYT,7943 VANTAGE AVE,80.49+,18 IN/CURB/COMM VEH,63.0,34.2146957474092,-118.39769272095707,2021,North Hollywood,Very Low Income
4539044871,11/10/2021,CA,MNNI,8001 REDLANDS ST,80.69BS,NO PARK/STREET CLEAN,73.0,33.95812099988655,-118.43402600310422,2021,Westchester,Above Moderate Income
4532236936,06/22/2021,CA,TOYT,201 12TH ST W,88.13B+,METER EXP.,63.0,34.038749999221174,-118.26114699902024,2021,Downtown,Above Moderate Income
4531819530,06/10/2021,CA,ACUR,200 MAIN ST S,88.13B+,METER EXP.,63.0,34.051002999267155,-118.24451900036001,2021,Downtown,Very Low Income
4528956331,04/26/2021,CA,NISS,3321 COUNCIL ST,80.56E4+,RED ZONE,93.0,34.07422884191883,-118.28326821207432,2021,Historic Filipinotown,Very Low Income
4531024875,05/31/2021,CA,NISS,268 CORONADO ST S,80.61,STANDNG IN ALLEY,68.0,34.07169473548224,-118.27419835326636,2021,Historic Filipinotown,Low Income
4532658443,07/09/2021,TX,HYUN,600 PARK VIEW ST S,88.13B+,METER EXP.,63.0,34.06117500022506,-118.27852900144133,2021,Westlake,Very Low Income
4534477463,08/10/2021,CA,NISS,655 NEW HAMPSHIRE AV S,80.56E2,YELLOW ZONE,58.0,34.06178599409713,-118.2929080032866,2021,Koreatown,Very Low Income
4537512490,10/11/2021,CA,HOND,936 NORMANDIE AV N,22500E,BLOCKING DRIVEWAY,68.0,34.087600039319405,-118.30046645469302,2021,East Hollywood,Very Low Income
4526255801,03/01/2021,CA,OTHR,18000 KILLION ST,5200,DISPLAY OF PLATES,25.0,34.170864001587866,-118.5243609981105,2021,Encino,Extremely Low Income
4534323183,08/16/2021,CA,LEXS,6600 LEXINGTON AVE,80.69BS,NO PARK/STREET CLEAN,73.0,34.092539999949885,-118.33318199942364,2021,Hollywood,Low Income
4526147522,02/13/2021,CA,DODG,1500 PENMAR AVE,80.56E4+,RED ZONE,93.0,34.004622999692145,-118.45871599770933,2021,Venice,Above Moderate Income
4532353173,07/20/2021,LA,MAZD,1256 30TH ST W,80.69BS,NO PARK/STREET CLEAN,73.0,34.0274280934506,-118.29052726453367,2021,University Park,Extremely Low Income
4533212073,07/20/2021,CA,INFI,11231 MAGNOLIA BLVD,88.63B+,OFF STR/OVERTIME/MTR,58.0,34.1649000003007,-118.37574300380685,2021,North Hollywood,Low Income
4525784034,02/15/2021,CA,MERZ,833 CORONADO ST S,22500H,DOUBLE PARKING,68.0,34.05677504177261,-118.28346159799,2021,Westlake,Extremely Low Income
4537853725,10/19/2021,CA,HYUN,14235 DICKENS ST,80.69BS,NO PARK/STREET CLEAN,73.0,34.14867039162275,-118.44266522735184,2021,Sherman Oaks,Low Income
4538521396,11/09/2021,AZ,GMC,111 7TH ST W,21211B,BLK BIKE PATH OR LANE,93.0,34.04404246191713,-118.25155076871317,2021,Downtown,Low Income
